Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
1990-03-23,33720.0,33560.0,33760.0,33560.0,0.45,33893.0,33832.79851893698,50.93553435244093,138.85584134473174,130.5221447117717,8.333696632960056
1990-03-26,33760.0,33720.0,33970.0,33720.0,0.12,33882.0,33819.5624245848,51.62127641898624,124.70615413183259,129.3589465957839,-4.6527924639513
1990-03-27,34150.0,33760.0,34150.0,33700.0,1.16,33937.0,33879.6419837512,57.81237966415686,143.31017521423928,132.14919231947496,11.160982894764317
1990-03-28,34200.0,34150.0,34260.0,34060.0,0.15,33988.0,33937.88889579644,58.544837025750425,160.2414148062744,137.76763681683485,22.473777989439554
1990-03-29,34080.0,34200.0,34210.0,33980.0,-0.35,34015.0,33963.7272783789,56.030531850687325,162.10786844896938,142.63568314326176,19.472185305707626
1990-03-30,33990.0,34080.0,34140.0,33820.0,-0.26,33995.0,33968.50413685547,54.15212008928415,154.5433193832796,145.01721039126534,9.526108992014258
1990-04-02,33870.0,33990.0,33990.0,33630.0,-0.35,33947.0,33950.59429379083,51.66505926925525,137.28285137587955,143.47033858818818,-6.187487212308639
1990-04-03,34360.0,33870.0,34380.0,33870.0,1.45,33967.0,34025.031694919766,59.78664397010237,161.28353483018873,147.0329778365883,14.25055699360044
1990-04-04,34110.0,34360.0,34410.0,34040.0,-0.73,33981.0,34040.48047766162,54.73350268286893,158.30648015957559,149.28767830118576,9.018801858389821
1990-04-05,34070.0,34110.0,34290.0,34060.0,-0.12,34031.0,34045.847663541324,53.94784023734317,150.97908427622315,149.62595949619325,1.3531247800299013
1990-04-06,34010.0,34070.0,34170.0,33890.0,-0.18,34060.0,34039.32990653381,52.725259851853394,138.73136289438116,147.44704017583084,-8.715677281449672
1990-04-09,34140.0,34010.0,34180.0,33990.0,0.38,34098.0,34057.63355989129,55.0995346804224,137.92495596678782,145.54262333402224,-7.617667367234418
1990-04-10,34210.0,34140.0,34240.0,34060.0,0.21,34104.0,34085.336549001964,56.37018082205272,141.30540688145265,144.69518004350834,-3.3897731620556897
1990-04-11,34190.0,34210.0,34300.0,34130.0,-0.06,34103.0,34104.36626736524,55.883577999495635,140.74814868772955,143.9057737723526,-3.1576250846230494
1990-04-12,34430.0,34190.0,34480.0,34190.0,0.7,34138.0,34163.57240057156,60.31109504454504,157.85288202668744,146.69519542321956,11.15768660346788
1990-04-16,34470.0,34430.0,34730.0,34410.0,0.12,34186.0,34219.286509558544,61.013373030752945,172.64601632898848,151.88535960437335,20.76065672461513
1990-04-17,34470.0,34470.0,34520.0,34210.0,0.0,34246.0,34264.8707805479,61.01337303075295,182.2686028469834,157.96200825289537,24.30659459408804
1990-04-18,34070.0,34470.0,34530.0,34010.0,-1.16,34217.0,34229.43972953919,50.62446797205831,155.82169937423168,157.53394647716266,-1.7122471029309736
1990-04-19,33810.0,34070.0,34070.0,33760.0,-0.76,34187.0,34153.17796053206,45.233098216870765,112.58470435285562,148.54409805230125,-35.95939369944563
1990-04-20,33510.0,33810.0,33850.0,33340.0,-0.89,34131.0,34036.2365131626,39.946783103932404,53.494925297891314,129.53426350141928,-76.03933820352796
1990-04-23,33110.0,33510.0,33510.0,33010.0,-1.19,34041.0,33867.82987440576,34.20655138761295,-25.318946329760365,98.56362153518336,-123.88256786494372
1990-04-24,33040.0,33110.0,33300.0,32970.0,-0.21,33931.0,33717.31535178653,33.30461731790092,-92.36321673513157,60.37825388112037,-152.74147061625195
1990-04-25,33200.0,33040.0,33270.0,33040.0,0.48,33830.0,33623.258015098065,37.36958780025244,-131.0746739845199,22.087668307992317,-153.16234229251222
1990-04-26,33290.0,33200.0,33380.0,33070.0,0.27,33740.0,33562.6656487166,39.5996069995588,-152.73094762453547,-12.87605487851324,-139.85489274602224
1990-04-27,32910.0,33290.0,33360.0,32870.0,-1.14,33588.0,33443.999167131755,34.081744008067886,-198.27098027554894,-49.955039957920384,-148.31594031762856
1990-04-30,33080.0,32910.0,33130.0,32780.0,0.52,33449.0,33377.81750038052,38.228586896453805,-218.12974112433585,-83.58998019120348,-134.53976093313236
1990-05-01,33220.0,33080.0,33280.0,33080.0,0.42,33324.0,33349.123409402244,41.49284613921512,-220.03469915544702,-110.8789239840522,-109.15577517139482
1990-05-02,33450.0,33220.0,33450.0,33210.0,0.69,33262.0,33367.464607692746,46.495199207063685,-200.67209135468875,-128.8375574581795,-71.83453389650924
1990-05-03,33560.0,33450.0,33700.0,33450.0,0.33,33237.0,33402.4710426577,48.751993018333614,-174.44016682299116,-137.95807933114185,-36.48208749184931
1990-05-04,33840.0,33560.0,33850.0,33520.0,0.83,33270.0,33482.02176217448,54.06338276613699,-129.56398473322042,-136.27926041155757,6.71527567833715
1990-05-07,34050.0,33840.0,34110.0,33810.0,0.62,33364.0,33585.29053268821,57.611705247452036,-76.17593341236352,-124.25859501171877,48.08266159935525
1990-05-08,34200.0,34050.0,34200.0,34020.0,0.44,33480.0,33697.05589038126,59.98908832511466,-21.513774304432445,-103.70963087026152,82.19585656582908
1990-05-09,34290.0,34200.0,34310.0,34090.0,0.26,33589.0,33804.86391031194,61.38837666775921,28.737362025764014,-77.22023229105642,105.95759431682043
1990-05-10,34380.0,34290.0,34500.0,34280.0,0.26,33698.0,33909.43410843704,62.78981900957587,74.95990630696178,-46.784204571452776,121.74411087841456
1990-05-11,35200.0,34380.0,35230.0,34380.0,2.39,33927.0,34144.08245235757,72.56157110341837,175.73301186850586,-2.280761283461054,178.01377315196692
1990-05-14,35480.0,35200.0,35840.0,35190.0,0.8,34167.0,34386.97655192892,74.97793667507455,275.01982663189847,53.17935629961086,221.84047033228762
1990-05-15,35430.0,35480.0,35510.0,35280.0,-0.14,34388.0,34576.61717885093,73.7292884677646,345.68590855043294,111.68066674977528,234.00524180065764
1990-05-16,35400.0,35430.0,35470.0,35190.0,-0.08,34583.0,34726.32314633258,72.94435251710561,394.7184695002725,168.28822729987473,226.43024220039774
1990-05-17,35450.0,35400.0,35690.0,35400.0,0.14,34772.0,34857.90075609029,73.45165279431998,432.62468141823774,221.15551812354735,211.4691632946904
1990-05-18,35460.0,35450.0,35460.0,35250.0,0.03,34934.0,34967.373345892054,73.558437477252,458.19080549734645,268.5625755983072,189.62822989903924
1990-05-21,35800.0,35460.0,35910.0,35380.0,0.96,35109.0,35118.76001027531,76.95276608029822,500.1222040721768,314.87450129308115,185.24770277909568
1990-05-22,35840.0,35800.0,36050.0,35610.0,0.11,35273.0,35249.89455386162,77.32161176911555,530.4659242767084,357.9927858898066,172.47313838690178
1990-05-23,35930.0,35840.0,35930.0,35700.0,0.25,35437.0,35373.55008952314,78.16821955564615,555.3737856987573,397.46898585159676,157.90479984716052
1990-05-24,35840.0,35930.0,35960.0,35790.0,-0.25,35583.0,35458.35916415529,75.14710622275018,561.3799587707472,430.2511804354269,131.1287783353203
1990-05-25,35460.0,35840.0,35840.0,35430.0,-1.06,35609.0,35458.657497945234,63.9149085071885,529.3747672029785,450.07589778893725,79.29886941404129
1990-05-29,36060.0,35460.0,36060.0,35460.0,1.69,35667.0,35567.992498318825,71.227649042291,546.1299616475735,469.2867105606646,76.84325108690894
1990-05-30,36090.0,36060.0,36230.0,36000.0,0.08,35733.0,35662.90295316995,71.53822584132676,555.4267098688579,486.51471042230327,68.9119994465546
1990-05-31,36120.0,36090.0,36180.0,36020.0,0.08,35805.0,35746.01150713905,71.86528094201908,558.7740002431528,500.96656838647317,57.80743185667967
1990-06-01,36320.0,36120.0,36350.0,36120.0,0.55,35892.0,35850.37305129558,74.00949026456266,570.9831422715215,514.9698831634829,56.013259108038596
1990-06-04,36740.0,36320.0,36790.0,36240.0,1.16,36020.0,36012.123405605475,77.8305475001037,607.5460524957889,533.4851170299441,74.06093546584475
1990-06-05,36660.0,36740.0,36880.0,36550.0,-0.22,36106.0,36129.91915004084,75.55209164763029,622.8868391102951,551.3654614460144,71.52137766428075
1990-06-06,36500.0,36660.0,36660.0,36440.0,-0.44,36172.0,36197.20657730614,71.07086594139047,615.044015641768,564.1011722851651,50.94284335660291
1990-06-07,36310.0,36500.0,36590.0,36160.0,-0.52,36210.0,36217.71447234139,66.06005991239073,586.7336096121071,568.6276597505536,18.10594986155354
1990-06-08,35870.0,36310.0,36350.0,35770.0,-1.21,36213.0,36154.4936591884,56.18151092242636,522.7669540662246,559.4555186136878,-36.688564547463216
1990-06-11,36160.0,35870.0,36160.0,35770.0,0.81,36283.0,36155.49481206324,60.38617214385401,489.8270734639955,545.5298295837493,-55.70275611975387
1990-06-12,36620.0,36160.0,36730.0,36110.0,1.27,36339.0,36239.95030077901,65.96501018070876,495.13255648544873,535.4503749640893,-40.31781847864056
1990-06-13,36490.0,36620.0,36710.0,36450.0,-0.36,36379.0,36285.413882455556,63.253856379222505,483.2763673257796,525.0155734364273,-41.73920611064773
1990-06-14,36290.0,36490.0,36490.0,36160.0,-0.55,36396.0,36286.24772200909,59.221218829542174,452.525491290995,510.5175570073408,-57.99206571634585
1990-06-15,36290.0,36290.0,36310.0,36070.0,0.0,36393.0,36286.929954371066,59.221218829542174,423.2759389413404,493.0692333941408,-69.79329445280035
1990-06-18,35690.0,36290.0,36290.0,35690.0,-1.65,36288.0,36178.39723539451,48.4698354524778,347.67271771079686,463.98993025747205,-116.3172125466752
1990-06-19,35850.0,35690.0,35890.0,35620.0,0.45,36207.0,36118.68864714096,51.02330061290172,297.2408752343181,430.6401192528413,-133.39924401852323
1990-06-20,35910.0,35850.0,35990.0,35700.0,0.17,36148.0,36080.745256751696,51.98417963473946,259.12771232272644,396.33763786681834,-137.2099255440919
