Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2016-06-24,2.5,2.325,2.509,2.259,-8.59,2.4614000000000003,2.475946012344988,44.55478549516814,-0.08263441478178368,-0.07381372637357678,-0.008820688408206906
2016-06-23,2.735,2.681,2.747,2.642,3.05,2.4829999999999997,2.5230467373731718,58.318900021050666,-0.05700348224817953,-0.07045167754849732,0.013448195300317795
2016-06-22,2.654,2.622,2.68,2.607,1.34,2.5071,2.5468564214871403,53.39834755113103,-0.042734193428425105,-0.06490818072448289,0.02217398729605778
2016-06-21,2.619,2.606,2.627,2.58,0.92,2.525,2.5599734357622057,51.38102646400292,-0.033859574627438604,-0.05869845950507403,0.024838884877635428
2016-06-20,2.595,2.504,2.602,2.504,5.70,2.5352,2.566341901987259,49.98649668880553,-0.02843519152549856,-0.052645805909158946,0.024210614383660387
2016-06-17,2.455,2.4,2.457,2.393,2.63,2.5284,2.546097919807757,42.70522112212801,-0.03502936212625185,-0.04912251715257753,0.01409315502632568
2016-06-16,2.392,2.423,2.43,2.385,-2.45,2.5145000000000004,2.518080116206346,39.889373315884434,-0.04482218111970582,-0.04826244994600319,0.003440268826297374
2016-06-15,2.452,2.467,2.477,2.451,-0.41,2.5105,2.506065549623374,43.69700625433405,-0.047197498779879776,-0.048049459712778506,0.0008519609328987293
2016-06-14,2.462,2.496,2.516,2.462,-2.15,2.5153,2.4980536315100332,44.32994099496566,-0.04772291861300815,-0.04798415149282444,0.0002612328798162894
2016-06-13,2.516,2.554,2.565,2.511,-1.87,2.5380000000000003,2.501316607599118,47.74600049256396,-0.043283029096365944,-0.047043927013532744,0.0037608979171668
2016-06-10,2.564,2.621,2.622,2.5504,-2.66,2.5444000000000004,2.5127135880356417,50.645119291434575,-0.035482169456872104,-0.044731575502200624,0.00924940604532852
2016-06-09,2.634,2.621,2.651,2.615,-0.08,2.5343000000000004,2.534765662938252,54.60092510581525,-0.023381984047504467,-0.040461657211261395,0.017079673163756928
2016-06-08,2.636,2.643,2.649,2.62,-0.64,2.5325,2.553171906040388,54.71261111643983,-0.013475776287486863,-0.03506448102650649,0.02158870473901963
2016-06-07,2.653,2.668,2.682,2.646,-0.08,2.5359000000000003,2.571322468578499,55.709992231295466,-0.004204806945165451,-0.028892546210238287,0.024687739265072835
2016-06-06,2.655,2.66,2.68,2.655,-0.23,2.5419,2.58653656520059,55.83323040465366,0.0032662352112993176,-0.022460789925930764,0.025727025137230082
2016-06-03,2.661,2.709,2.722,2.646,-1.44,2.5625,2.600075371527755,56.22673910134123,0.00956102624315891,-0.01605642669211283,0.02561745293527174
2016-06-02,2.7,2.686,2.719,2.684,0.07,2.5933,2.6182434857954355,58.79648959026902,0.017494996125747342,-0.009346142128540798,0.02684113825428814
2016-06-01,2.698,2.724,2.731,2.677,-1.35,2.6179,2.6327446701962653,58.60647902096823,0.02335215206081509,-0.0028064832906696206,0.02615863535148471
2016-05-31,2.735,2.717,2.745,2.717,0.40,2.6452,2.6513365483423987,61.110376332833845,0.03062653745654309,0.003880120858772922,0.02674641659777017
2016-05-27,2.724,2.708,2.731,2.701,-0.04,2.666,2.664548085007417,59.94934423681296,0.035099329006397895,0.010123962488297916,0.02497536651809998
2016-05-26,2.725,2.703,2.726,2.703,0.44,2.6820999999999997,2.6755393422787956,60.02370157662212,0.03828343259666678,0.01575585650997169,0.02252757608669509
2016-05-25,2.713,2.706,2.74,2.698,1.34,2.69,2.682350370955378,58.617310727186506,0.03938455726030643,0.02048159666003864,0.01890296060026779
2016-05-24,2.677,2.588,2.677,2.583,3.00,2.6940999999999997,2.681377576236218,54.492306600136445,0.036926640033694724,0.023770605334769858,0.013156034698924866
2016-05-23,2.599,2.61,2.621,2.597,0.04,2.6887,2.66639983510236,46.80662163174929,0.028357882775994714,0.02468806082301483,0.0036698219529798827
2016-05-20,2.598,2.583,2.629,2.583,1.01,2.683,2.6539635014473855,46.71565127955916,0.021241530135049924,0.023998754685421852,-0.0027572245503719277
2016-05-19,2.572,2.584,2.603,2.572,-1.23,2.6741,2.63906104663877,44.3046369402037,0.01334989738063408,0.021868983224464296,-0.008519085843830217
2016-05-18,2.604,2.585,2.607,2.555,0.77,2.6645,2.632686310886266,47.87063524081354,0.009567565195485628,0.019408699618668566,-0.009841134423182938
2016-05-17,2.584,2.595,2.61,2.561,-0.35,2.6531000000000002,2.6238342543614905,45.89288191270895,0.004899725845920244,0.0165069048641189,-0.011607179018198657
2016-05-16,2.593,2.563,2.596,2.557,0.31,2.6389,2.618228026295765,46.95493234062575,0.0019046981407520036,0.013586463519445521,-0.011681765378693518
2016-05-13,2.585,2.573,2.585,2.564,0.43,2.625,2.612186566969262,46.08892910681687,-0.001101716136981512,0.010648827588160116,-0.011750543725141628
