Date,Price,Open,High,Low,Vol.,Change %
1996-11-26,"5,975.56","5,976.82","5,976.82","5,950.06",,0.39%
1996-11-27,"5,986.41","5,982.19","5,988.25","5,971.56",,0.18%
1996-11-28,"6,018.65","5,990.43","6,018.65","5,990.43",,0.54%
1996-11-29,"6,016.67","6,014.38","6,016.67","5,991.01",,-0.03%
1996-12-02,"5,984.97","5,978.89","5,990.00","5,970.91",,-0.53%
1996-12-03,"5,940.73","5,981.08","5,996.79","5,939.90",,-0.74%
1996-12-04,"5,910.65","5,942.53","5,942.54","5,881.16",,-0.51%
1996-12-05,"5,841.75","5,891.70","5,891.70","5,838.99",,-1.17%
1996-12-06,"5,810.06","5,687.47","5,810.06","5,672.21",,-0.54%
1996-12-09,"5,906.54","5,855.54","5,906.75","5,855.54",,1.66%
1996-12-10,"5,919.86","5,936.08","5,946.83","5,919.67",,0.23%
1996-12-11,"5,781.69","5,821.10","5,863.74","5,781.69",,-2.33%
1996-12-12,"5,722.84","5,815.24","5,815.24","5,722.84",,-1.02%
1996-12-13,"5,706.88","5,720.45","5,720.45","5,691.77",,-0.28%
1996-12-16,"5,712.37","5,734.12","5,734.12","5,705.10",,0.10%
1996-12-17,"5,710.20","5,700.79","5,717.67","5,696.76",,-0.04%
1996-12-18,"5,727.64","5,728.39","5,731.41","5,714.40",,0.31%
1996-12-19,"5,844.30","5,760.76","5,845.12","5,759.01",,2.04%
1996-12-20,"5,869.66","5,876.38","5,886.61","5,844.61",,0.43%
1996-12-23,"5,862.90","5,879.11","5,880.19","5,855.87",,-0.12%
1996-12-24,"5,867.82","5,860.68","5,868.51","5,855.55",,0.08%
1996-12-27,"5,902.61","5,876.21","5,904.03","5,876.21",,0.59%
1996-12-30,"5,954.25","5,920.71","5,961.40","5,917.29",,0.87%
1996-12-31,"5,927.03","5,955.72","5,960.02","5,921.93",,-0.46%
1997-01-02,"5,904.31","5,917.80","5,917.80","5,872.18",,-0.38%
1997-01-03,"5,919.49","5,911.91","5,932.18","5,907.58",,0.26%
1997-01-06,"5,920.71","5,916.67","5,938.11","5,904.96",,0.02%
1997-01-07,"5,946.87","5,906.27","5,946.92","5,903.09",,0.44%
1997-01-08,"5,929.98","5,946.68","5,946.68","5,926.61",,-0.28%
1997-01-09,"5,959.36","5,936.80","5,959.36","5,933.60",,0.50%
1997-01-10,"5,984.93","5,923.31","5,989.20","5,923.31",,0.43%
1997-01-13,"6,001.48","6,009.21","6,016.69","5,998.49",,0.28%
1997-01-14,"6,054.86","6,019.55","6,059.78","6,015.22",,0.89%
1997-01-15,"6,065.34","6,051.49","6,080.15","6,044.53",,0.17%
1997-01-16,"6,103.66","6,090.76","6,112.32","6,087.46",,0.63%
1997-01-17,"6,138.80","6,121.04","6,144.29","6,121.04",,0.58%
1997-01-20,"6,113.90","6,126.41","6,126.41","6,110.80",,-0.41%
1997-01-21,"6,075.98","6,102.30","6,102.30","6,073.63",,-0.62%
1997-01-22,"6,058.67","6,061.61","6,070.78","6,048.36",,-0.28%
1997-01-23,"6,040.51","6,074.50","6,093.46","6,039.02",,-0.30%
1997-01-24,"6,033.58","6,036.36","6,044.32","6,026.38",,-0.11%
1997-01-27,"6,040.76","6,043.14","6,043.98","6,029.94",,0.12%
1997-01-28,"6,046.71","6,070.74","6,074.97","6,031.90",,0.10%
1997-01-29,"6,071.28","6,049.26","6,071.54","6,042.26",,0.41%
1997-01-30,"6,085.10","6,082.95","6,085.10","6,065.31",,0.23%
1997-01-31,"6,109.58","6,102.21","6,109.58","6,094.15",,0.40%
1997-02-03,"6,140.93","6,123.22","6,144.85","6,117.61",,0.51%
